Model ID,kutralnet
Model name,KutralNet
Training dataset ID,imagenet
Training dataset name,ImageNet
Version,None
Using cuda,True
Epochs,100
Batch size,32
Shuffle dataset,True
Loss function,CrossEntropyLoss()
Optimizer,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.001
    lr: 0.001
    weight_decay: 0
)"
Scheduler,StepLR(step_size=85)
Model parameters,138.9140K
Model FLOPS,77.6637M
Training time (s),377994
Validation accuracy,0.0011999999405816195
Best ep,46
Model on-disk size,0.79MB
