Model ID,kutralnet_mobileoct
Model name,KutralNet Mobile Octave
Training dataset ID,fismo_balanced_black
Training dataset name,FiSmoBA
Version,None
Using cuda,True
Epochs,100
Batch size,32
Shuffle dataset,True
Loss function,CrossEntropyLoss()
Optimizer,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)"
Scheduler,None
Model parameters,185.2500K
Model FLOPS,26.1383M
Training time (s),142
Validation accuracy,0.9390862584114076
Best ep,78
Model on-disk size,0.75MB
